preproduction payer_id,payer_name,payer_country,payer_service,payer_currency,transaction_type
2737,Citibank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,B2B
2737,Citibank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,C2C
2736,Citibank N.A.,Hong Kong,BankAccount,HKD,C2C
2736,Citibank N.A.,Hong Kong,BankAccount,HKD,B2B
2736,Citibank N.A.,Hong Kong,BankAccount,HKD,B2C
2741,CMB Wing Lung Bank Limited,Hong Kong,BankAccount,HKD,B2B
2741,CMB Wing Lung Bank Limited,Hong Kong,BankAccount,HKD,B2C
2741,CMB Wing Lung Bank Limited,Hong Kong,BankAccount,HKD,C2C
2740,DBS Bank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,B2B
2740,DBS Bank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,C2C
2740,DBS Bank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,B2C
2738,Hang Seng Bank Ltd.,Hong Kong,BankAccount,HKD,B2B
2738,Hang Seng Bank Ltd.,Hong Kong,BankAccount,HKD,B2C
2738,Hang Seng Bank Ltd.,Hong Kong,BankAccount,HKD,C2C
2742,Industrial and Commercial Bank of China (Asia),Hong Kong,BankAccount,HKD,B2B
2742,Industrial and Commercial Bank of China (Asia),Hong Kong,BankAccount,HKD,B2C
2742,Industrial and Commercial Bank of China (Asia),Hong Kong,BankAccount,HKD,C2C
2743,Nanyang Commercial Bank,Hong Kong,BankAccount,HKD,B2C
2743,Nanyang Commercial Bank,Hong Kong,BankAccount,HKD,C2C
2743,Nanyang Commercial Bank,Hong Kong,BankAccount,HKD,B2B
2734,Standard Chartered Bank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,B2B
2734,Standard Chartered Bank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,B2C
2734,Standard Chartered Bank (Hong Kong) Limited,Hong Kong,BankAccount,HKD,C2C
2735,The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,BankAccount,HKD,B2B
2735,The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,BankAccount,HKD,B2C
2735,The Hongkong and Shanghai Banking Corporation Limited,Hong Kong,BankAccount,HKD,C2C
2831,All Banks Hungary / EUR / Payment System: SEPA,Hungary,BankAccount,EUR,C2C
2832,All Banks Iceland / EUR / Payment System: SEPA,Iceland,BankAccount,EUR,C2C
406,All Banks / Payment System: Default,India,BankAccount,INR,B2C
406,All Banks / Payment System: Default,India,BankAccount,INR,C2C
265,Bank Aceh,Indonesia,BankAccount,IDR,C2C
335,Bank Agris,Indonesia,BankAccount,IDR,C2C
335,Bank Agris,Indonesia,BankAccount,IDR,B2C
335,Bank Agris,Indonesia,BankAccount,IDR,B2B
310,Bank Agro,Indonesia,BankAccount,IDR,B2B
310,Bank Agro,Indonesia,BankAccount,IDR,C2C
310,Bank Agro,Indonesia,BankAccount,IDR,B2C
247,Bank Anz Indonesia P.t.,Indonesia,BankAccount,IDR,C2C
247,Bank Anz Indonesia P.t.,Indonesia,BankAccount,IDR,B2C
247,Bank Anz Indonesia P.t.,Indonesia,BankAccount,IDR,B2B
232,Bank Artha Graha Internasional Tbk Pt,Indonesia,BankAccount,IDR,C2C
232,Bank Artha Graha Internasional Tbk Pt,Indonesia,BankAccount,IDR,B2B
232,Bank Artha Graha Internasional Tbk Pt,Indonesia,BankAccount,IDR,B2C
322,Bank Artos,Indonesia,BankAccount,IDR,C2C
322,Bank Artos,Indonesia,BankAccount,IDR,B2B
322,Bank Artos,Indonesia,BankAccount,IDR,B2C
282,Bank Bengkulu,Indonesia,BankAccount,IDR,B2B
282,Bank Bengkulu,Indonesia,BankAccount,IDR,B2C
282,Bank Bengkulu,Indonesia,BankAccount,IDR,C2C
261,Bank BPD DIY,Indonesia,BankAccount,IDR,B2C
261,Bank BPD DIY,Indonesia,BankAccount,IDR,B2B
261,Bank BPD DIY,Indonesia,BankAccount,IDR,C2C
274,Bank BPD Kal Teng,Indonesia,BankAccount,IDR,B2C
274,Bank BPD Kal Teng,Indonesia,BankAccount,IDR,C2C
274,Bank BPD Kal Teng,Indonesia,BankAccount,IDR,B2B
281,Bank BPD Papua,Indonesia,BankAccount,IDR,C2C
281,Bank BPD Papua,Indonesia,BankAccount,IDR,B2B
281,Bank BPD Papua,Indonesia,BankAccount,IDR,B2C
268,Bank BPD Riau,Indonesia,BankAccount,IDR,B2C
268,Bank BPD Riau,Indonesia,BankAccount,IDR,B2B
268,Bank BPD Riau,Indonesia,BankAccount,IDR,C2C
333,Bank BPR EKA,Indonesia,BankAccount,IDR,C2C
332,BANK BPR KS,Indonesia,BankAccount,IDR,C2C
301,Bank BRI Syariah,Indonesia,BankAccount,IDR,B2C
301,Bank BRI Syariah,Indonesia,BankAccount,IDR,C2C
301,Bank BRI Syariah,Indonesia,BankAccount,IDR,B2B
2397,BANK BTPN SYARIAH,Indonesia,BankAccount,IDR,C2C
304,Bank Bukopin,Indonesia,BankAccount,IDR,C2C
304,Bank Bukopin,Indonesia,BankAccount,IDR,B2B
304,Bank Bukopin,Indonesia,BankAccount,IDR,B2C
242,Bank Capital Indonesia,Indonesia,BankAccount,IDR,C2C
242,Bank Capital Indonesia,Indonesia,BankAccount,IDR,B2C
242,Bank Capital Indonesia,Indonesia,BankAccount,IDR,B2B
220,Bank Central Asia,Indonesia,BankAccount,IDR,B2C
220,Bank Central Asia,Indonesia,BankAccount,IDR,C2C
220,Bank Central Asia,Indonesia,BankAccount,IDR,B2B
321,Bank Central Asia Syariah,Indonesia,BankAccount,IDR,B2B
321,Bank Central Asia Syariah,Indonesia,BankAccount,IDR,B2C
321,Bank Central Asia Syariah,Indonesia,BankAccount,IDR,C2C
338,Bank Chinatrust Indonesia Pt,Indonesia,BankAccount,IDR,B2B
338,Bank Chinatrust Indonesia Pt,Indonesia,BankAccount,IDR,C2C
338,Bank Chinatrust Indonesia Pt,Indonesia,BankAccount,IDR,B2C
339,Bank Commonwealth,Indonesia,BankAccount,IDR,B2C
339,Bank Commonwealth,Indonesia,BankAccount,IDR,C2C
339,Bank Commonwealth,Indonesia,BankAccount,IDR,B2B
237,Bank Dbs Indonesia Pt,Indonesia,BankAccount,IDR,C2C
237,Bank Dbs Indonesia Pt,Indonesia,BankAccount,IDR,B2C
237,Bank Dbs Indonesia Pt,Indonesia,BankAccount,IDR,B2B
260,Bank Dki Pt.,Indonesia,BankAccount,IDR,B2B
260,Bank Dki Pt.,Indonesia,BankAccount,IDR,B2C
260,Bank Dki Pt.,Indonesia,BankAccount,IDR,C2C
293,Bank Ganesha,Indonesia,BankAccount,IDR,B2C
293,Bank Ganesha,Indonesia,BankAccount,IDR,B2B
293,Bank Ganesha,Indonesia,BankAccount,IDR,C2C
307,Bank Hana,Indonesia,BankAccount,IDR,C2C
307,Bank Hana,Indonesia,BankAccount,IDR,B2B
307,Bank Hana,Indonesia,BankAccount,IDR,B2C
330,Bank HARDA,Indonesia,BankAccount,IDR,C2C
315,Bank INA,Indonesia,BankAccount,IDR,B2C
315,Bank INA,Indonesia,BankAccount,IDR,B2B
315,Bank INA,Indonesia,BankAccount,IDR,C2C
326,Bank Index,Indonesia,BankAccount,IDR,B2B
326,Bank Index,Indonesia,BankAccount,IDR,C2C
326,Bank Index,Indonesia,BankAccount,IDR,B2C
259,Bank Jabar,Indonesia,BankAccount,IDR,B2C
259,Bank Jabar,Indonesia,BankAccount,IDR,B2B
259,Bank Jabar,Indonesia,BankAccount,IDR,C2C
302,Bank Jabar Syariah,Indonesia,BankAccount,IDR,C2C
302,Bank Jabar Syariah,Indonesia,BankAccount,IDR,B2C
302,Bank Jabar Syariah,Indonesia,BankAccount,IDR,B2B
264,Bank Jambi,Indonesia,BankAccount,IDR,C2C
264,Bank Jambi,Indonesia,BankAccount,IDR,B2C
264,Bank Jambi,Indonesia,BankAccount,IDR,B2B
306,Bank Jasa Jakarta,Indonesia,BankAccount,IDR,C2C
306,Bank Jasa Jakarta,Indonesia,BankAccount,IDR,B2B
306,Bank Jasa Jakarta,Indonesia,BankAccount,IDR,B2C
2392,Bank Jawa Barat,Indonesia,BankAccount,IDR,C2C
320,Bank Kesejahteraan Ekonomi,Indonesia,BankAccount,IDR,B2C
320,Bank Kesejahteraan Ekonomi,Indonesia,BankAccount,IDR,B2B
320,Bank Kesejahteraan Ekonomi,Indonesia,BankAccount,IDR,C2C
270,Bank Lampung,Indonesia,BankAccount,IDR,B2B
270,Bank Lampung,Indonesia,BankAccount,IDR,C2C
270,Bank Lampung,Indonesia,BankAccount,IDR,B2C
280,Bank Maluku,Indonesia,BankAccount,IDR,B2B
280,Bank Maluku,Indonesia,BankAccount,IDR,B2C
280,Bank Maluku,Indonesia,BankAccount,IDR,C2C
216,Bank Mandiri (persero) Pt,Indonesia,BankAccount,IDR,C2C
216,Bank Mandiri (persero) Pt,Indonesia,BankAccount,IDR,B2C
216,Bank Mandiri (persero) Pt,Indonesia,BankAccount,IDR,B2B
303,Bank Mega,Indonesia,BankAccount,IDR,B2C
303,Bank Mega,Indonesia,BankAccount,IDR,C2C
303,Bank Mega,Indonesia,BankAccount,IDR,B2B
288,Bank Mestika,Indonesia,BankAccount,IDR,B2C
288,Bank Mestika,Indonesia,BankAccount,IDR,C2C
288,Bank Mestika,Indonesia,BankAccount,IDR,B2B
289,Bank Metro Ekspress,Indonesia,BankAccount,IDR,C2C
3067,BANK MNC INTERNASIONAL (MNC BANK),Indonesia,BankAccount,IDR,C2C
287,Bank Muamalat,Indonesia,BankAccount,IDR,B2C
287,Bank Muamalat,Indonesia,BankAccount,IDR,C2C
287,Bank Muamalat,Indonesia,BankAccount,IDR,B2B
324,Bank Multiarta Sentosa,Indonesia,BankAccount,IDR,C2C
267,Bank Nagari,Indonesia,BankAccount,IDR,B2C
267,Bank Nagari,Indonesia,BankAccount,IDR,B2B
267,Bank Nagari,Indonesia,BankAccount,IDR,C2C
313,Bank National NOBU,Indonesia,BankAccount,IDR,C2C
313,Bank National NOBU,Indonesia,BankAccount,IDR,B2B
313,Bank National NOBU,Indonesia,BankAccount,IDR,B2C
217,Bank Negara Indonesia Pt (persero),Indonesia,BankAccount,IDR,C2C
217,Bank Negara Indonesia Pt (persero),Indonesia,BankAccount,IDR,B2B
217,Bank Negara Indonesia Pt (persero),Indonesia,BankAccount,IDR,B2C
1396,Bank Negara Indonesia Syariah,Indonesia,BankAccount,IDR,B2B
1396,Bank Negara Indonesia Syariah,Indonesia,BankAccount,IDR,B2C
1396,Bank Negara Indonesia Syariah,Indonesia,BankAccount,IDR,C2C
277,Bank NTB,Indonesia,BankAccount,IDR,B2C
277,Bank NTB,Indonesia,BankAccount,IDR,C2C
277,Bank NTB,Indonesia,BankAccount,IDR,B2B
279,Bank NTT,Indonesia,BankAccount,IDR,C2C
279,Bank NTT,Indonesia,BankAccount,IDR,B2C
279,Bank NTT,Indonesia,BankAccount,IDR,B2B
285,Bank Nusantara Parahyangan,Indonesia,BankAccount,IDR,B2B
285,Bank Nusantara Parahyangan,Indonesia,BankAccount,IDR,C2C
285,Bank Nusantara Parahyangan,Indonesia,BankAccount,IDR,B2C
250,Bank Of China Jakarta Branch,Indonesia,BankAccount,IDR,B2B
250,Bank Of China Jakarta Branch,Indonesia,BankAccount,IDR,C2C
250,Bank Of China Jakarta Branch,Indonesia,BankAccount,IDR,B2C
235,Bank Of Tokyo Mitsubishi Ufj Ltd. The,Indonesia,BankAccount,IDR,B2B
235,Bank Of Tokyo Mitsubishi Ufj Ltd. The,Indonesia,BankAccount,IDR,B2C
235,Bank Of Tokyo Mitsubishi Ufj Ltd. The,Indonesia,BankAccount,IDR,C2C
316,Bank Panin Syariah,Indonesia,BankAccount,IDR,C2C
278,Bank Pembangunan Daerah Bali,Indonesia,BankAccount,IDR,B2B
278,Bank Pembangunan Daerah Bali,Indonesia,BankAccount,IDR,B2C
278,Bank Pembangunan Daerah Bali,Indonesia,BankAccount,IDR,C2C
1770,Bank Pembangunan Daerah Banten,Indonesia,BankAccount,IDR,B2C
1770,Bank Pembangunan Daerah Banten,Indonesia,BankAccount,IDR,B2B
1770,Bank Pembangunan Daerah Banten,Indonesia,BankAccount,IDR,C2C
273,Bank Pembangunan Daerah Kalimantan Timur,Indonesia,BankAccount,IDR,C2C
273,Bank Pembangunan Daerah Kalimantan Timur,Indonesia,BankAccount,IDR,B2C
273,Bank Pembangunan Daerah Kalimantan Timur,Indonesia,BankAccount,IDR,B2B
214,Bank Rakyat Indonesia,Indonesia,BankAccount,IDR,B2B
214,Bank Rakyat Indonesia,Indonesia,BankAccount,IDR,C2C
214,Bank Rakyat Indonesia,Indonesia,BankAccount,IDR,B2C
312,Bank Royal,Indonesia,BankAccount,IDR,B2C
312,Bank Royal,Indonesia,BankAccount,IDR,B2B
312,Bank Royal,Indonesia,BankAccount,IDR,C2C
318,Bank Sahabat Sampoerna,Indonesia,BankAccount,IDR,B2B
318,Bank Sahabat Sampoerna,Indonesia,BankAccount,IDR,B2C
318,Bank Sahabat Sampoerna,Indonesia,BankAccount,IDR,C2C
311,Bank Sbi Indonesia,Indonesia,BankAccount,IDR,C2C
311,Bank Sbi Indonesia,Indonesia,BankAccount,IDR,B2B
311,Bank Sbi Indonesia,Indonesia,BankAccount,IDR,B2C
290,Bank Sinarmas,Indonesia,BankAccount,IDR,B2C
290,Bank Sinarmas,Indonesia,BankAccount,IDR,B2B
290,Bank Sinarmas,Indonesia,BankAccount,IDR,C2C
284,Bank Sultra,Indonesia,BankAccount,IDR,B2C
284,Bank Sultra,Indonesia,BankAccount,IDR,C2C
284,Bank Sultra,Indonesia,BankAccount,IDR,B2B
276,Bank Sulut,Indonesia,BankAccount,IDR,C2C
276,Bank Sulut,Indonesia,BankAccount,IDR,B2B
